user_id,timestamp,action_type,feature_used,session_duration,step_number
user_1,2024-01-01,onboarding_start,,136,1
user_1,2024-01-02,feedback_submitted,,481,2
user_1,2024-01-03,signup,,229,3
user_1,2024-01-04,subscription,,345,4
user_1,2024-01-05,feature_x_demo,,473,5
user_2,2024-01-01,signup,,400,1
user_2,2024-01-02,feedback_submitted,,206,2
user_2,2024-01-03,subscription,,291,3
user_3,2024-01-01,feedback_submitted,,489,1
user_3,2024-01-02,feature_x_demo,Feature Y,73,2
user_3,2024-01-03,signup,,525,3
user_4,2024-01-01,signup,,519,1
user_4,2024-01-02,onboarding_start,,145,2
user_4,2024-01-03,feature_z_used,,499,3
user_4,2024-01-04,feedback_submitted,,35,4
user_4,2024-01-05,feature_x_demo,Feature X,181,5
user_4,2024-01-06,subscription,,288,6
user_5,2024-01-01,feature_x_demo,,354,1
user_5,2024-01-02,feature_y_used,Feature Z,106,2
user_5,2024-01-03,feature_z_used,Feature Z,381,3
user_5,2024-01-04,signup,,469,4
user_5,2024-01-05,subscription,,442,5
user_5,2024-01-06,onboarding_start,,523,6
user_6,2024-01-01,subscription,,404,1
user_6,2024-01-02,feature_x_demo,Feature Z,580,2
user_6,2024-01-03,feature_z_used,Feature Y,120,3
user_6,2024-01-04,feedback_submitted,,491,4
user_7,2024-01-01,feature_x_demo,Feature X,285,1
user_7,2024-01-02,signup,,470,2
user_7,2024-01-03,subscription,,476,3
user_7,2024-01-04,feature_z_used,Feature Y,266,4
user_8,2024-01-01,feature_y_used,Feature Z,231,1
user_8,2024-01-02,feedback_submitted,,202,2
user_8,2024-01-03,signup,,394,3
user_8,2024-01-04,feature_x_demo,Feature X,507,4
user_8,2024-01-05,onboarding_start,,55,5
user_8,2024-01-06,subscription,,171,6
user_9,2024-01-01,onboarding_start,,513,1
user_9,2024-01-02,feature_z_used,Feature X,406,2
user_9,2024-01-03,feature_x_demo,Feature Z,433,3
user_10,2024-01-01,feedback_submitted,,47,1
user_10,2024-01-02,feature_z_used,Feature Z,62,2
user_10,2024-01-03,feature_x_demo,Feature Y,517,3
user_11,2024-01-01,feedback_submitted,,561,1
user_11,2024-01-02,signup,,476,2
user_11,2024-01-03,onboarding_start,,19,3
user_11,2024-01-04,subscription,,232,4
user_11,2024-01-05,feature_y_used,Feature Z,517,5
user_11,2024-01-06,feature_x_demo,Feature Z,412,6
user_12,2024-01-01,feature_z_used,Feature X,589,1
user_12,2024-01-02,feature_x_demo,,255,2
user_12,2024-01-03,signup,,578,3
user_13,2024-01-01,onboarding_start,,50,1
user_13,2024-01-02,signup,,539,2
user_13,2024-01-03,feature_y_used,Feature Y,174,3
user_13,2024-01-04,feature_x_demo,Feature X,257,4
user_13,2024-01-05,subscription,,100,5
user_13,2024-01-06,feature_z_used,Feature Y,592,6
user_14,2024-01-01,signup,,345,1
user_14,2024-01-02,feature_x_demo,Feature X,520,2
user_14,2024-01-03,onboarding_start,,362,3
user_15,2024-01-01,feature_y_used,Feature X,273,1
user_15,2024-01-02,onboarding_start,,373,2
user_15,2024-01-03,feature_x_demo,Feature X,470,3
user_15,2024-01-04,feature_z_used,Feature Z,425,4
user_15,2024-01-05,subscription,,332,5
user_16,2024-01-01,feedback_submitted,,511,1
user_16,2024-01-02,onboarding_start,,456,2
user_16,2024-01-03,feature_z_used,Feature Y,578,3
user_16,2024-01-04,subscription,,282,4
user_17,2024-01-01,feedback_submitted,,95,1
user_17,2024-01-02,subscription,,127,2
user_17,2024-01-03,feature_y_used,Feature Z,16,3
user_17,2024-01-04,feature_z_used,Feature X,234,4
user_17,2024-01-05,signup,,580,5
user_18,2024-01-01,feature_z_used,Feature X,430,1
user_18,2024-01-02,feedback_submitted,,261,2
user_18,2024-01-03,feature_y_used,Feature Z,453,3
user_18,2024-01-04,onboarding_start,,217,4
user_18,2024-01-05,feature_x_demo,Feature Y,198,5
user_18,2024-01-06,subscription,,137,6
user_19,2024-01-01,feature_x_demo,,525,1
user_19,2024-01-02,signup,,158,2
user_19,2024-01-03,feedback_submitted,,215,3
user_19,2024-01-04,subscription,,138,4
user_19,2024-01-05,onboarding_start,,201,5
user_19,2024-01-06,feature_y_used,Feature X,340,6
user_20,2024-01-01,signup,,525,1
user_20,2024-01-02,onboarding_start,,161,2
user_20,2024-01-03,feature_z_used,Feature Y,162,3
user_20,2024-01-04,feedback_submitted,,503,4
user_20,2024-01-05,feature_x_demo,,565,5
user_21,2024-01-01,subscription,,429,1
user_21,2024-01-02,feedback_submitted,,312,2
user_21,2024-01-03,onboarding_start,,277,3
user_22,2024-01-01,feature_x_demo,Feature X,318,1
user_22,2024-01-02,subscription,,268,2
user_22,2024-01-03,feedback_submitted,,467,3
user_22,2024-01-04,feature_z_used,Feature Z,51,4
user_22,2024-01-05,feature_y_used,Feature Z,174,5
user_22,2024-01-06,signup,,23,6
user_23,2024-01-01,onboarding_start,,434,1
user_23,2024-01-02,feature_z_used,Feature Y,436,2
user_23,2024-01-03,subscription,,118,3
user_23,2024-01-04,feedback_submitted,,268,4
user_23,2024-01-05,signup,,241,5
user_23,2024-01-06,feature_y_used,Feature X,126,6
user_24,2024-01-01,subscription,,177,1
user_24,2024-01-02,feature_x_demo,,175,2
user_24,2024-01-03,feedback_submitted,,594,3
user_24,2024-01-04,feature_y_used,,412,4
user_24,2024-01-05,onboarding_start,,291,5
user_25,2024-01-01,feedback_submitted,,474,1
user_25,2024-01-02,onboarding_start,,484,2
user_25,2024-01-03,feature_z_used,Feature X,389,3
user_25,2024-01-04,feature_y_used,Feature Z,36,4
user_25,2024-01-05,signup,,52,5
user_25,2024-01-06,feature_x_demo,Feature Y,244,6
user_26,2024-01-01,feedback_submitted,,298,1
user_26,2024-01-02,feature_y_used,Feature X,495,2
user_26,2024-01-03,feature_z_used,,467,3
user_26,2024-01-04,signup,,530,4
user_26,2024-01-05,onboarding_start,,561,5
user_26,2024-01-06,subscription,,206,6
user_27,2024-01-01,feature_x_demo,Feature X,113,1
user_27,2024-01-02,feedback_submitted,,51,2
user_27,2024-01-03,signup,,294,3
user_28,2024-01-01,subscription,,205,1
user_28,2024-01-02,onboarding_start,,267,2
user_28,2024-01-03,signup,,175,3
user_29,2024-01-01,feature_z_used,Feature Y,584,1
user_29,2024-01-02,feature_y_used,Feature X,337,2
user_29,2024-01-03,subscription,,302,3
user_29,2024-01-04,feedback_submitted,,169,4
user_29,2024-01-05,signup,,504,5
user_29,2024-01-06,onboarding_start,,400,6
user_30,2024-01-01,feature_y_used,Feature X,552,1
user_30,2024-01-02,feedback_submitted,,422,2
user_30,2024-01-03,feature_z_used,,539,3
user_30,2024-01-04,onboarding_start,,520,4
user_30,2024-01-05,feature_x_demo,,50,5
user_30,2024-01-06,subscription,,34,6
user_31,2024-01-01,signup,,368,1
user_31,2024-01-02,onboarding_start,,65,2
user_31,2024-01-03,subscription,,589,3
user_31,2024-01-04,feature_z_used,Feature X,204,4
user_32,2024-01-01,feature_z_used,,68,1
user_32,2024-01-02,feature_x_demo,,458,2
user_32,2024-01-03,feedback_submitted,,278,3
user_32,2024-01-04,feature_y_used,,67,4
user_33,2024-01-01,feature_x_demo,Feature Y,283,1
user_33,2024-01-02,signup,,384,2
user_33,2024-01-03,onboarding_start,,120,3
user_34,2024-01-01,subscription,,488,1
user_34,2024-01-02,feature_z_used,Feature Y,131,2
user_34,2024-01-03,feedback_submitted,,141,3
user_34,2024-01-04,onboarding_start,,407,4
user_34,2024-01-05,feature_y_used,Feature X,72,5
user_35,2024-01-01,subscription,,286,1
user_35,2024-01-02,feature_x_demo,Feature Z,203,2
